step,epoch,loss
0,0,0.001099523389711976
1,0,0.005954342428594828
2,0,0.0025183085817843676
3,0,0.003035599132999778
4,0,0.004472365602850914
5,0,0.0026330617256462574
6,0,0.002093625720590353
7,0,0.002335272030904889
8,0,0.003232188057154417
9,0,0.001892458414658904
10,0,0.002482421463355422
11,0,0.001817226642742753
12,0,0.0011522689601406455
13,0,0.0020339214242994785
14,0,0.0016947293188422918
15,0,0.0025658677332103252
16,0,0.001616814755834639
17,0,0.0018399825785309076
18,0,0.001495004747994244
19,0,0.0021906010806560516
20,0,0.00224778288975358
21,0,0.0021973797120153904
22,0,0.0018717186758294702
23,0,0.0017878456274047494
24,0,0.0013431826373562217
25,0,0.0021951321978121996
26,0,0.001649644342251122
27,0,0.0015544707421213388
28,0,0.0014250179519876838
29,0,0.001448964700102806
30,0,0.0015501329908147454
31,0,0.0010797652648761868
32,0,0.0022630838211625814
33,0,0.0009809244656935334
34,0,0.001851942390203476
35,0,0.0021907128393650055
36,0,0.0009744075359776616
37,0,0.0014396663755178452
38,0,0.0010240966221317649
39,0,0.0013883940409868956
40,0,0.0013073473237454891
41,0,0.0020351612474769354
42,0,0.0014229329535737634
43,0,0.0013471690472215414
44,0,0.0021217577159404755
45,0,0.001463390188291669
46,0,0.0016407539369538426
47,0,0.00083728734171018
48,0,0.0009821892017498612
49,0,0.0013392777182161808
50,0,0.0008756493334658444
51,0,0.0014395767357200384
52,0,0.0012669083662331104
53,0,0.0012610305566340685
54,0,0.0012935149716213346
55,0,0.0015113449189811945
56,0,0.001030975254252553
57,0,0.00224817986600101
58,0,0.0011652415851131082
59,0,0.001538184704259038
60,0,0.0025430377572774887
61,0,0.001239603036083281
62,0,0.0013341056182980537
63,0,0.0019507830729708076
64,0,0.0013437827583402395
65,0,0.0013831326505169272
66,0,0.0015938595170155168
67,0,0.0012449593050405383
68,0,0.001071977079845965
69,0,0.0007891919813118875
70,0,0.0012605547672137618
71,0,0.0014424918917939067
72,0,0.0011574456002563238
73,0,0.0017091188346967101
74,0,0.0013533176388591528
75,0,0.0011425449047237635
76,0,0.0009657990885898471
77,0,0.0012410180643200874
78,0,0.0012664694804698229
79,0,0.0012225598329678178
80,0,0.001300989300943911
81,0,0.001382619608193636
82,0,0.0013073255540803075
83,0,0.0013127678539603949
84,0,0.0013186169089749455
85,0,0.0016902961069718003
86,0,0.0013331390218809247
87,0,0.0014657281571999192
88,0,0.001076345331966877
89,0,0.0015838444232940674
90,0,0.0013223905116319656
91,0,0.0015006448375061154
92,0,0.0009159508044831455
